Meal Plan,ASIN,Quantity,Daily Servings,Category
47,B0884P2JXP,2,0.86,Tomato Soup
47,B074H64BHH,1,1.14,Casarecce
47,B07V262C64,1,0.86,Cereal Bar
48,B07FW76LSM,1,2.57,Bread
48,B09SC4JQ1L,2,0.86,Quiche Lorraine
48,B07VKJ7TW9,1,1.43,Sliced Cheese
48,B074H6QSW3,1,1.57,Bran Flakes
48,B000VHF5J8,2,0.29,Protein Bar
48,B07XJZ63RB,1,0.14,Turkey
48,B074H4SK16,1,0.71,Coconut Milk
48,B08852TNND,1,0.43,Pea Soup
48,B074H5LWCJ,1,0.86,Mango
48,B079JT8ZZF,1,1.57,Broccoli Florets
48,B074H6M4M4,1,1.14,Almond Milk
48,B07KMYWCPP,1,0.57,Cottage Cheese
49,B088STMCYJ,1,2.14,Protein Powder
49,B07NRC969Z,1,1.14,Cod Fillet
49,B074H5QQWX,1,0.29,Raspberries
49,B07VKY77DR,1,1.14,Bran Cereal
49,B074Y2PYPC,2,1.00,Corn
49,B074VCN7HW,2,1.00,Canned Pumpkin
49,B074H5M1PM,1,1.43,Egg White
49,B07V262C64,1,0.86,Cereal Bar
49,B09FQRMJHP,1,0.14,Tso Chicken
49,B07N9DBRLG,1,1.14,Cookie
49,B09YS4S3VW,1,0.43,Quiche Broccoli
49,B074H54XM2,1,0.50,Cannellini Beans
50,B08852TNND,1,0.43,Pea Soup
50,B074VCN7HW,1,0.50,Canned Pumpkin
50,B09SC4JQ1L,2,0.86,Quiche Lorraine
50,B08GMXG1MM,1,0.29,Pot Pie
50,B07Q9FQML9,2,0.86,Cauliflower
50,B006T88ZOK,1,0.71,Chicken Nuggets
50,B074H5M1PM,2,2.86,Egg White
50,B000V79VSO,1,2.00,Honey Almond Butter
50,B07Q9GCMKW,1,0.43,Vegetable (Protein)
50,B07FYYKKQK,1,0.14,Banana
50,B074H4SK16,1,0.71,Coconut Milk
51,B074H5Y3M8,2,1.43,Root Vegetables
51,B07VKJ7TW9,1,1.43,Sliced Cheese
51,B082PL63S4,1,0.36,Passion Fruit
51,B074H6M4M4,1,1.14,Almond Milk
51,B000VHF5J8,2,0.29,Protein Bar
51,B088STMCYJ,2,4.29,Protein Powder
51,B00LMC502S,1,0.57,Yogurt
51,B07N9DBRLG,1,1.14,Cookie
51,B000RGZMTQ,1,0.29,Apple
51,B074H54XM2,1,0.50,Cannellini Beans
51,B07NRC7THL,1,0.36,Chicken Breast
52,B07GLT4Z49,1,1.43,Walnuts
52,B07KMYWCPP,1,0.57,Cottage Cheese
52,B00CIZCSIM,2,3.43,Brown Eggs
52,B074H5M1PM,1,1.43,Egg White
52,B074VCN7HW,1,0.50,Canned Pumpkin
52,B074VF1FC6,1,1.00,Meatballs
52,B09FQRMJHP,1,0.14,Tso Chicken
52,B006T88ZOK,1,0.71,Chicken Nuggets
52,B08GMXG1MM,1,0.29,Pot Pie
52,B07XQC3B64,1,0.14,Chicken
52,B07NRC969Z,1,1.14,Cod Fillet
52,B07Q9FQML9,1,0.43,Cauliflower
52,B07XJZ63RB,1,0.14,Turkey
53,B09YS4S3VW,1,0.43,Quiche Broccoli
53,B06XZMT4PG,1,0.14,Peanut Butter Bar
53,B0884P2JXP,1,0.43,Tomato Soup
53,B082PL63S4,1,0.36,Passion Fruit
53,B09SC4JQ1L,1,0.43,Quiche Lorraine
53,B074Y2PYPC,1,0.50,Corn
53,B09FQRMJHP,1,0.14,Tso Chicken
53,B07FXJMZJQ,1,1.29,Peanuts
53,B07XQC3B64,1,0.14,Chicken
53,B07FW76LSM,1,2.57,Bread
53,B074H4SK16,1,0.71,Coconut Milk
53,B079JT8ZZF,1,1.57,Broccoli Florets
53,B07VKJ7TW9,1,1.43,Sliced Cheese
53,B074H5QQWX,1,0.29,Raspberries
54,B07NRC7THL,1,0.36,Chicken Breast
54,B074H7NP9Q,2,1.71,Boiled Eggs
54,B074H7KL3S,2,1.43,Vegetables Mixed
54,B082PL63S4,1,0.36,Passion Fruit
54,B074H5M1PM,1,1.43,Egg White
54,B09FQRMJHH,1,0.14,Shrimp
54,B07VKY77DR,1,1.14,Bran Cereal
54,B074VF1FC6,1,1.00,Meatballs
54,B074H54XM2,1,0.50,Cannellini Beans
54,B07V262C64,1,0.86,Cereal Bar
54,B088STMCYJ,1,2.14,Protein Powder
54,B07XJZ63RB,1,0.14,Turkey
55,B074H5Y3M8,1,0.71,Root Vegetables
55,B07FW76LSM,1,2.57,Bread
55,B074VF1FC6,1,1.00,Meatballs
55,B00LMC502S,1,0.57,Yogurt
55,B09FQRMJHH,1,0.14,Shrimp
55,B000RGZNIG,1,0.86,Pineapple
55,B07FYYKKQK,1,0.14,Banana
55,B074H64BHH,1,1.14,Casarecce
55,B000VHF5J8,1,0.14,Protein Bar
55,B08GMXG1MM,1,0.29,Pot Pie
55,B00CIZCSIM,2,3.43,Brown Eggs
55,B074H737VK,1,0.50,Peach
55,B07KMYWCPP,1,0.57,Cottage Cheese
56,B074H6M4M4,1,1.14,Almond Milk
56,B06XZMT4PG,2,0.29,Peanut Butter Bar
56,B07N9DBRLG,2,2.29,Cookie
56,B074H737VK,1,0.50,Peach
56,B07GLT4Z49,1,1.43,Walnuts
56,B074H5SRLB,1,1.71,Brown Eggs
56,B074H5M1PM,1,1.43,Egg White
56,B074VCN7HW,1,0.50,Canned Pumpkin
56,B09FQRMJHP,1,0.14,Tso Chicken
56,B07NRC969Z,1,1.14,Cod Fillet
56,B07Q9GCMKW,1,0.43,Vegetable (Protein)
56,B07V262C64,1,0.86,Cereal Bar
57,B074H64BHH,1,1.14,Casarecce
57,B09FQRMJHH,1,0.14,Shrimp
57,B074Y2PYPC,2,1.00,Corn
57,B074H5M1PM,1,1.43,Egg White
57,B06XZMT4PG,1,0.14,Peanut Butter Bar
57,B09SC4JQ1L,1,0.43,Quiche Lorraine
57,B07FXJMZJQ,1,1.29,Peanuts
57,B00LMC502S,1,0.57,Yogurt
57,B000RGZNIG,1,0.86,Pineapple
57,B074H5SRLB,1,1.71,Brown Eggs
57,B07KMYWCPP,1,0.57,Cottage Cheese
57,B074H54NKR,1,0.86,Mango Slices
57,B074H737VK,1,0.50,Peach
58,B077RYGD4L,1,0.64,Yogurt
58,B079JT8ZZF,2,3.14,Broccoli Florets
58,B07KMYWCPP,2,1.14,Cottage Cheese
58,B074H7NP9Q,1,0.86,Boiled Eggs
58,B07FXJMZJQ,1,1.29,Peanuts
58,B07V262C64,1,0.86,Cereal Bar
58,B074H737VK,1,0.50,Peach
58,B09FQRMJHH,1,0.14,Shrimp
58,B09FQRMJHP,1,0.14,Tso Chicken
58,B000V79VSO,1,2.00,Honey Almond Butter
58,B06XZMT4PG,1,0.14,Peanut Butter Bar
58,B074Y2PYPC,1,0.50,Corn
59,B074H7KL3S,1,0.71,Vegetables Mixed
59,B07NRC969Z,1,1.14,Cod Fillet
59,B07XJZ63RB,1,0.14,Turkey
59,B074H5Y3M8,2,1.43,Root Vegetables
59,B08GMXG1MM,1,0.29,Pot Pie
59,B07Q9FQML9,1,0.43,Cauliflower
59,B074H6QSW3,1,1.57,Bran Flakes
59,B00CIZCSIM,1,1.71,Brown Eggs
59,B000V79VSO,1,2.00,Honey Almond Butter
59,B077RYGD4L,1,0.64,Yogurt
59,B074VCN7HW,1,0.50,Canned Pumpkin
59,B09FQRMJHP,1,0.14,Tso Chicken
59,B074Y2PYPC,1,0.50,Corn
60,B074H54XM2,1,0.50,Cannellini Beans
60,B09FQRMJHP,1,0.14,Tso Chicken
60,B06XZMT4PG,1,0.14,Peanut Butter Bar
60,B09YS4S3VW,2,0.86,Quiche Broccoli
60,B08GMXG1MM,1,0.29,Pot Pie
60,B07GLT4Z49,1,1.43,Walnuts
60,B074H5SRLB,1,1.71,Brown Eggs
60,B074H737VK,1,0.50,Peach
60,B006T88ZOK,1,0.71,Chicken Nuggets
60,B074H5Y3M8,2,1.43,Root Vegetables
60,B077RYGD4L,1,0.64,Yogurt
60,B074H7KL3S,1,0.71,Vegetables Mixed
61,B09YS4S3VW,2,0.86,Quiche Broccoli
61,B07N9DBRLG,1,1.14,Cookie
61,B07Q9GCMKW,1,0.43,Vegetable (Protein)
61,B07KMYWCPP,2,1.14,Cottage Cheese
61,B082PL63S4,1,0.36,Passion Fruit
61,B0BBP7663X,1,0.57,Beef Burgers
61,B07VKJ7TW9,2,2.86,Sliced Cheese
61,B09FQRMJHP,1,0.14,Tso Chicken
61,B08852TNND,1,0.43,Pea Soup
61,B07XJZ63RB,1,0.14,Turkey
61,B074VCN7HW,1,0.50,Canned Pumpkin
62,B07V262C64,1,0.86,Cereal Bar
62,B00LMC502S,1,0.57,Yogurt
62,B09FQRMJHH,1,0.14,Shrimp
62,B0779HTYC9,1,0.14,Salami
62,B077RYGD4L,1,0.64,Yogurt
62,B000RGZMTQ,1,0.29,Apple
62,B08852TNND,1,0.43,Pea Soup
62,B006T88ZOK,1,0.71,Chicken Nuggets
62,B07XJZ63RB,1,0.14,Turkey
62,B074H6QSW3,1,1.57,Bran Flakes
62,B074H5QQWX,1,0.29,Raspberries
62,B074H5SRLB,1,1.71,Brown Eggs
62,B074H6M4M4,1,1.14,Almond Milk
62,B074VF1FC6,1,1.00,Meatballs
63,B006T88ZOK,1,0.71,Chicken Nuggets
63,B000VHF5J8,1,0.14,Protein Bar
63,B074Y2PYPC,1,0.50,Corn
63,B000V79VSO,1,2.00,Honey Almond Butter
63,B09FQRMJHH,1,0.14,Shrimp
63,B074H54NKR,1,0.86,Mango Slices
63,B074H5M1PM,1,1.43,Egg White
63,B00CIZCSIM,1,1.71,Brown Eggs
63,B074H5LWCJ,1,0.86,Mango
63,B07VKJ7TW9,1,1.43,Sliced Cheese
63,B08852TNND,1,0.43,Pea Soup
63,B074H7NP9Q,1,0.86,Boiled Eggs
63,B000RGZMTQ,1,0.29,Apple
63,B074VCN7HW,1,0.50,Canned Pumpkin
64,B074VCN7HW,1,0.50,Canned Pumpkin
64,B09SC4JQ1L,1,0.43,Quiche Lorraine
64,B082PL63S4,1,0.36,Passion Fruit
64,B06XZMT4PG,1,0.14,Peanut Butter Bar
64,B0779HTYC9,1,0.14,Salami
64,B000RGZNIG,2,1.71,Pineapple
64,B07FYYKKQK,1,0.14,Banana
64,B08GMXG1MM,1,0.29,Pot Pie
64,B000VHF5J8,1,0.14,Protein Bar
64,B074H7NP9Q,1,0.86,Boiled Eggs
64,B08G9XYDNS,1,4.57,Heavy Cream
64,B000V79VSO,1,2.00,Honey Almond Butter
64,B07Q9GCMKW,1,0.43,Vegetable (Protein)
65,B088STMCYJ,1,2.14,Protein Powder
65,B006T88ZOK,1,0.71,Chicken Nuggets
65,B00LMC502S,1,0.57,Yogurt
65,B07NRC7THL,1,0.36,Chicken Breast
65,B074VF1FC6,1,1.00,Meatballs
65,B08852TNND,1,0.43,Pea Soup
65,B074VCN7HW,1,0.50,Canned Pumpkin
65,B09FQRMJHP,1,0.14,Tso Chicken
65,B074H54XM2,2,1.00,Cannellini Beans
65,B074H5QQWX,2,0.57,Raspberries
65,B07VKJ7TW9,1,1.43,Sliced Cheese
65,B074H54NKR,1,0.86,Mango Slices
66,B07NRC7THL,2,0.71,Chicken Breast
66,B08852TNND,2,0.86,Pea Soup
66,B08G9XYDNS,1,4.57,Heavy Cream
66,B074H4SK16,2,1.43,Coconut Milk
66,B07FYYKKQK,1,0.14,Banana
66,B074H5Y3M8,1,0.71,Root Vegetables
66,B0884P2JXP,1,0.43,Tomato Soup
66,B09FQRMJHH,1,0.14,Shrimp
66,B077RYGD4L,1,0.64,Yogurt
66,B07N9DBRLG,1,1.14,Cookie
66,B074H6QSW3,1,1.57,Bran Flakes
67,B07XJZ63RB,1,0.14,Turkey
67,B0BBP7663X,1,0.57,Beef Burgers
67,B07V262C64,1,0.86,Cereal Bar
67,B07FXJMZJQ,1,1.29,Peanuts
67,B07FYYKKQK,1,0.14,Banana
67,B09FQRMJHP,1,0.14,Tso Chicken
67,B074VCN7HW,1,0.50,Canned Pumpkin
67,B077RYGD4L,1,0.64,Yogurt
67,B07NRC969Z,2,2.29,Cod Fillet
67,B000VHF5J8,1,0.14,Protein Bar
67,B074H5QQWX,1,0.29,Raspberries
67,B08G9XYDNS,1,4.57,Heavy Cream
67,B0779HTYC9,1,0.14,Salami
68,B082PL63S4,1,0.36,Passion Fruit
68,B074H5Y3M8,1,0.71,Root Vegetables
68,B074H5QQWX,1,0.29,Raspberries
68,B09FQRMJHH,1,0.14,Shrimp
68,B08GMXG1MM,1,0.29,Pot Pie
68,B07V262C64,1,0.86,Cereal Bar
68,B000V79VSO,1,2.00,Honey Almond Butter
68,B0884P2JXP,2,0.86,Tomato Soup
68,B09FQRMJHP,1,0.14,Tso Chicken
68,B006T88ZOK,1,0.71,Chicken Nuggets
68,B079JT8ZZF,1,1.57,Broccoli Florets
68,B074Y2PYPC,1,0.50,Corn
68,B07XJZ63RB,1,0.14,Turkey
69,B08852TNND,1,0.43,Pea Soup
69,B074VF1FC6,1,1.00,Meatballs
69,B09FQRMJHH,1,0.14,Shrimp
69,B074H7NP9Q,1,0.86,Boiled Eggs
69,B09SC4JQ1L,1,0.43,Quiche Lorraine
69,B074H64BHH,1,1.14,Casarecce
69,B07VKJ7TW9,1,1.43,Sliced Cheese
69,B07FYYKKQK,2,0.29,Banana
69,B074H5Y3M8,1,0.71,Root Vegetables
69,B079JT8ZZF,1,1.57,Broccoli Florets
69,B07XJZ63RB,1,0.14,Turkey
69,B074H737VK,1,0.50,Peach
69,B07XQC3B64,1,0.14,Chicken
70,B006T88ZOK,1,0.71,Chicken Nuggets
70,B07Q9GCMKW,1,0.43,Vegetable (Protein)
70,B07VKJ7TW9,1,1.43,Sliced Cheese
70,B000RGZMTQ,1,0.29,Apple
70,B07XQC3B64,1,0.14,Chicken
70,B074H5LWCJ,1,0.86,Mango
70,B08G9XYDNS,1,4.57,Heavy Cream
70,B074H5QQWX,1,0.29,Raspberries
70,B074H5Y3M8,1,0.71,Root Vegetables
70,B074H5SRLB,1,1.71,Brown Eggs
70,B079JT8ZZF,1,1.57,Broccoli Florets
70,B09SC4JQ1L,1,0.43,Quiche Lorraine
70,B000RGZNIG,1,0.86,Pineapple
70,B082PL63S4,1,0.36,Passion Fruit
71,B07VKJ7TW9,1,1.43,Sliced Cheese
71,B06XZMT4PG,1,0.14,Peanut Butter Bar
71,B00LMC502S,1,0.57,Yogurt
71,B079JT8ZZF,2,3.14,Broccoli Florets
71,B09FQRMJHP,1,0.14,Tso Chicken
71,B074H5QQWX,1,0.29,Raspberries
71,B0779HTYC9,1,0.14,Salami
71,B074VCN7HW,2,1.00,Canned Pumpkin
71,B09SC4JQ1L,1,0.43,Quiche Lorraine
71,B07V262C64,1,0.86,Cereal Bar
71,B074VF1FC6,1,1.00,Meatballs
71,B07FXJMZJQ,1,1.29,Peanuts
72,B082PL63S4,1,0.36,Passion Fruit
72,B074H64BHH,1,1.14,Casarecce
72,B074H5SRLB,1,1.71,Brown Eggs
72,B074VF1FC6,1,1.00,Meatballs
72,B07XQC3B64,2,0.29,Chicken
72,B074H737VK,1,0.50,Peach
72,B07Q9FQML9,1,0.43,Cauliflower
72,B06XZMT4PG,1,0.14,Peanut Butter Bar
72,B07N9DBRLG,1,1.14,Cookie
72,B07XJZ63RB,1,0.14,Turkey
72,B074H6M4M4,1,1.14,Almond Milk
72,B07NRC7THL,1,0.36,Chicken Breast
72,B074H7KL3S,1,0.71,Vegetables Mixed
73,B0884P2JXP,1,0.43,Tomato Soup
73,B07GLT4Z49,1,1.43,Walnuts
73,B082PL63S4,2,0.71,Passion Fruit
73,B07XQC3B64,2,0.29,Chicken
73,B07NRC969Z,1,1.14,Cod Fillet
73,B074H54XM2,1,0.50,Cannellini Beans
73,B06XZMT4PG,1,0.14,Peanut Butter Bar
73,B09YS4S3VW,1,0.43,Quiche Broccoli
73,B0BBP7663X,1,0.57,Beef Burgers
73,B08GMXG1MM,1,0.29,Pot Pie
73,B0779HTYC9,1,0.14,Salami
73,B09FQRMJHP,1,0.14,Tso Chicken
74,B08852TNND,1,0.43,Pea Soup
74,B08G9XYDNS,1,4.57,Heavy Cream
74,B000VHF5J8,1,0.14,Protein Bar
74,B074H5Y3M8,1,0.71,Root Vegetables
74,B07GLT4Z49,1,1.43,Walnuts
74,B09YS4S3VW,1,0.43,Quiche Broccoli
74,B074H5M1PM,1,1.43,Egg White
74,B077RYGD4L,1,0.64,Yogurt
74,B074H6M4M4,1,1.14,Almond Milk
74,B07XQC3B64,1,0.14,Chicken
74,B09FQRMJHP,1,0.14,Tso Chicken
74,B07Q9FQML9,1,0.43,Cauliflower
74,B07XJZ63RB,1,0.14,Turkey
74,B074H5QQWX,1,0.29,Raspberries
75,B074Y2PYPC,2,1.00,Corn
75,B074H64BHH,1,1.14,Casarecce
75,B0BBP7663X,1,0.57,Beef Burgers
75,B09FQRMJHP,2,0.29,Tso Chicken
75,B0884P2JXP,2,0.86,Tomato Soup
75,B000RGZNIG,1,0.86,Pineapple
75,B006T88ZOK,1,0.71,Chicken Nuggets
75,B074H5SRLB,1,1.71,Brown Eggs
75,B07Q9FQML9,1,0.43,Cauliflower
75,B074H5LWCJ,1,0.86,Mango
75,B08852TNND,1,0.43,Pea Soup
76,B074VCN7HW,1,0.50,Canned Pumpkin
76,B07GLT4Z49,1,1.43,Walnuts
76,B06XZMT4PG,1,0.14,Peanut Butter Bar
76,B074H7NP9Q,1,0.86,Boiled Eggs
76,B074H7KL3S,1,0.71,Vegetables Mixed
76,B074H54XM2,1,0.50,Cannellini Beans
76,B074H6QSW3,1,1.57,Bran Flakes
76,B07KMYWCPP,1,0.57,Cottage Cheese
76,B0779HTYC9,1,0.14,Salami
76,B074H737VK,1,0.50,Peach
76,B07XJZ63RB,1,0.14,Turkey
76,B074H5QQWX,1,0.29,Raspberries
76,B07V262C64,1,0.86,Cereal Bar
76,B07FW76LSM,1,2.57,Bread
77,B09FQRMJHH,1,0.14,Shrimp
77,B074H5SRLB,2,3.43,Brown Eggs
77,B074H5M1PM,1,1.43,Egg White
77,B082PL63S4,1,0.36,Passion Fruit
77,B09SC4JQ1L,1,0.43,Quiche Lorraine
77,B074H54XM2,2,1.00,Cannellini Beans
77,B074Y2PYPC,1,0.50,Corn
77,B074H5LWCJ,1,0.86,Mango
77,B000RGZNIG,1,0.86,Pineapple
77,B07FXJMZJQ,1,1.29,Peanuts
77,B074H7KL3S,1,0.71,Vegetables Mixed
77,B074H7NP9Q,1,0.86,Boiled Eggs
78,B07Q9FQML9,1,0.43,Cauliflower
78,B077RYGD4L,1,0.64,Yogurt
78,B000VHF5J8,1,0.14,Protein Bar
78,B082PL63S4,1,0.36,Passion Fruit
78,B074H6QSW3,2,3.14,Bran Flakes
78,B07FXJMZJQ,1,1.29,Peanuts
78,B074H4SK16,1,0.71,Coconut Milk
78,B074H7NP9Q,1,0.86,Boiled Eggs
78,B074VCN7HW,2,1.00,Canned Pumpkin
78,B09FQRMJHH,1,0.14,Shrimp
78,B07FYYKKQK,1,0.14,Banana
78,B074H5LWCJ,1,0.86,Mango
79,B07XQC3B64,1,0.14,Chicken
79,B0BBP7663X,1,0.57,Beef Burgers
79,B077RYGD4L,1,0.64,Yogurt
79,B074H4SK16,1,0.71,Coconut Milk
79,B00LMC502S,1,0.57,Yogurt
79,B07Q9FQML9,1,0.43,Cauliflower
79,B00CIZCSIM,1,1.71,Brown Eggs
79,B000RGZMTQ,1,0.29,Apple
79,B074H7KL3S,1,0.71,Vegetables Mixed
79,B0884P2JXP,1,0.43,Tomato Soup
79,B08852TNND,1,0.43,Pea Soup
79,B07XJZ63RB,1,0.14,Turkey
79,B079JT8ZZF,1,1.57,Broccoli Florets
79,B074H6QSW3,1,1.57,Bran Flakes
80,B07NRC969Z,1,1.14,Cod Fillet
80,B082PL63S4,2,0.71,Passion Fruit
80,B074H54XM2,1,0.50,Cannellini Beans
80,B00CIZCSIM,2,3.43,Brown Eggs
80,B074VF1FC6,1,1.00,Meatballs
80,B074H7KL3S,1,0.71,Vegetables Mixed
80,B074Y2PYPC,1,0.50,Corn
80,B074H737VK,1,0.50,Peach
80,B07FXJMZJQ,1,1.29,Peanuts
80,B00LMC502S,1,0.57,Yogurt
80,B079JT8ZZF,1,1.57,Broccoli Florets
80,B000RGZMTQ,1,0.29,Apple
81,B074H6QSW3,1,1.57,Bran Flakes
81,B074VCN7HW,1,0.50,Canned Pumpkin
81,B074H4SK16,2,1.43,Coconut Milk
81,B07Q9FQML9,1,0.43,Cauliflower
81,B074H7NP9Q,1,0.86,Boiled Eggs
81,B09SC4JQ1L,1,0.43,Quiche Lorraine
81,B0779HTYC9,1,0.14,Salami
81,B00LMC502S,1,0.57,Yogurt
81,B074H737VK,1,0.50,Peach
81,B07NRC969Z,2,2.29,Cod Fillet
81,B09FQRMJHH,1,0.14,Shrimp
81,B079JT8ZZF,1,1.57,Broccoli Florets
82,B082PL63S4,1,0.36,Passion Fruit
82,B074H54XM2,1,0.50,Cannellini Beans
82,B006T88ZOK,1,0.71,Chicken Nuggets
82,B07VKJ7TW9,2,2.86,Sliced Cheese
82,B074H4SK16,1,0.71,Coconut Milk
82,B079JT8ZZF,2,3.14,Broccoli Florets
82,B07N9DBRLG,1,1.14,Cookie
82,B0779HTYC9,1,0.14,Salami
82,B074H54NKR,1,0.86,Mango Slices
82,B000RGZNIG,1,0.86,Pineapple
82,B07XQC3B64,1,0.14,Chicken
82,B074H7KL3S,1,0.71,Vegetables Mixed
83,B07NRC7THL,2,0.71,Chicken Breast
83,B07FW76LSM,1,2.57,Bread
83,B07Q9FQML9,2,0.86,Cauliflower
83,B074H5QQWX,1,0.29,Raspberries
83,B079JT8ZZF,1,1.57,Broccoli Florets
83,B077RYGD4L,1,0.64,Yogurt
83,B006T88ZOK,1,0.71,Chicken Nuggets
83,B07XJZ63RB,1,0.14,Turkey
83,B074H54NKR,1,0.86,Mango Slices
83,B09SC4JQ1L,1,0.43,Quiche Lorraine
83,B08GMXG1MM,1,0.29,Pot Pie
83,B000RGZMTQ,1,0.29,Apple
84,B074VCN7HW,1,0.50,Canned Pumpkin
84,B07FXJMZJQ,1,1.29,Peanuts
84,B07NRC969Z,1,1.14,Cod Fillet
84,B074H6QSW3,1,1.57,Bran Flakes
84,B07Q9GCMKW,1,0.43,Vegetable (Protein)
84,B074H6M4M4,1,1.14,Almond Milk
84,B000VHF5J8,1,0.14,Protein Bar
84,B08852TNND,1,0.43,Pea Soup
84,B082PL63S4,1,0.36,Passion Fruit
84,B074H64BHH,1,1.14,Casarecce
84,B07FYYKKQK,1,0.14,Banana
84,B07Q9FQML9,1,0.43,Cauliflower
84,B074H5M1PM,1,1.43,Egg White
84,B06XZMT4PG,1,0.14,Peanut Butter Bar
85,B0884P2JXP,1,0.43,Tomato Soup
85,B09YS4S3VW,1,0.43,Quiche Broccoli
85,B08GMXG1MM,1,0.29,Pot Pie
85,B07NRC969Z,1,1.14,Cod Fillet
85,B074H5M1PM,1,1.43,Egg White
85,B09SC4JQ1L,1,0.43,Quiche Lorraine
85,B074H5QQWX,1,0.29,Raspberries
85,B00LMC502S,1,0.57,Yogurt
85,B079JT8ZZF,1,1.57,Broccoli Florets
85,B074H6M4M4,1,1.14,Almond Milk
85,B074H7KL3S,1,0.71,Vegetables Mixed
85,B07VKY77DR,1,1.14,Bran Cereal
85,B082PL63S4,1,0.36,Passion Fruit
85,B07NRC7THL,1,0.36,Chicken Breast
86,B074H737VK,1,0.50,Peach
86,B07NRC969Z,1,1.14,Cod Fillet
86,B074VF1FC6,1,1.00,Meatballs
86,B082PL63S4,1,0.36,Passion Fruit
86,B074H5QQWX,1,0.29,Raspberries
86,B077RYGD4L,1,0.64,Yogurt
86,B074H5LWCJ,1,0.86,Mango
86,B000RGZNIG,3,2.57,Pineapple
86,B09FQRMJHH,2,0.29,Shrimp
86,B09FQRMJHP,1,0.14,Tso Chicken
86,B074H4SK16,1,0.71,Coconut Milk
87,B07FYYKKQK,1,0.14,Banana
87,B08852TNND,2,0.86,Pea Soup
87,B07NRC969Z,1,1.14,Cod Fillet
87,B07XQC3B64,1,0.14,Chicken
87,B00CIZCSIM,2,3.43,Brown Eggs
87,B09FQRMJHP,1,0.14,Tso Chicken
87,B07NRC7THL,1,0.36,Chicken Breast
87,B07VKJ7TW9,1,1.43,Sliced Cheese
87,B074H7KL3S,1,0.71,Vegetables Mixed
87,B074H64BHH,1,1.14,Casarecce
87,B079JT8ZZF,1,1.57,Broccoli Florets
87,B074H6M4M4,1,1.14,Almond Milk
88,B07XQC3B64,1,0.14,Chicken
88,B06XZMT4PG,1,0.14,Peanut Butter Bar
88,B082PL63S4,1,0.36,Passion Fruit
88,B074H5Y3M8,1,0.71,Root Vegetables
88,B074H737VK,1,0.50,Peach
88,B07XJZ63RB,2,0.29,Turkey
88,B09FQRMJHP,1,0.14,Tso Chicken
88,B000RGZMTQ,1,0.29,Apple
88,B074H6QSW3,2,3.14,Bran Flakes
88,B000VHF5J8,1,0.14,Protein Bar
88,B074H4SK16,1,0.71,Coconut Milk
88,B00LMC502S,1,0.57,Yogurt
89,B07Q9FQML9,1,0.43,Cauliflower
89,B074H737VK,2,1.00,Peach
89,B074H6M4M4,1,1.14,Almond Milk
89,B074H5QQWX,1,0.29,Raspberries
89,B07NRC969Z,2,2.29,Cod Fillet
89,B07VKJ7TW9,1,1.43,Sliced Cheese
89,B074H64BHH,1,1.14,Casarecce
89,B00CIZCSIM,2,3.43,Brown Eggs
89,B000VHF5J8,1,0.14,Protein Bar
89,B07NRC7THL,1,0.36,Chicken Breast
89,B074H4SK16,1,0.71,Coconut Milk
90,B079JT8ZZF,2,3.14,Broccoli Florets
90,B07Q9GCMKW,2,0.86,Vegetable (Protein)
90,B07GLT4Z49,1,1.43,Walnuts
90,B074H737VK,1,0.50,Peach
90,B07KMYWCPP,1,0.57,Cottage Cheese
90,B00CIZCSIM,1,1.71,Brown Eggs
90,B074VCN7HW,1,0.50,Canned Pumpkin
90,B07FYYKKQK,1,0.14,Banana
90,B0884P2JXP,1,0.43,Tomato Soup
90,B000RGZNIG,1,0.86,Pineapple
90,B09SC4JQ1L,1,0.43,Quiche Lorraine
90,B074H5LWCJ,1,0.86,Mango
91,B0884P2JXP,1,0.43,Tomato Soup
91,B074H5Y3M8,1,0.71,Root Vegetables
91,B08GMXG1MM,1,0.29,Pot Pie
91,B0BBP7663X,1,0.57,Beef Burgers
91,B07NRC7THL,1,0.36,Chicken Breast
91,B074VCN7HW,1,0.50,Canned Pumpkin
91,B000VHF5J8,1,0.14,Protein Bar
91,B006T88ZOK,1,0.71,Chicken Nuggets
91,B09FQRMJHH,1,0.14,Shrimp
91,B074H5QQWX,1,0.29,Raspberries
91,B000RGZMTQ,1,0.29,Apple
91,B074H7KL3S,1,0.71,Vegetables Mixed
91,B074H7NP9Q,1,0.86,Boiled Eggs
91,B074H64BHH,1,1.14,Casarecce
92,B07NRC7THL,1,0.36,Chicken Breast
92,B006T88ZOK,1,0.71,Chicken Nuggets
92,B077RYGD4L,1,0.64,Yogurt
92,B07Q9GCMKW,1,0.43,Vegetable (Protein)
92,B074H54XM2,1,0.50,Cannellini Beans
92,B000VHF5J8,1,0.14,Protein Bar
92,B074H7NP9Q,1,0.86,Boiled Eggs
92,B09FQRMJHH,1,0.14,Shrimp
92,B074H64BHH,1,1.14,Casarecce
92,B07KMYWCPP,1,0.57,Cottage Cheese
92,B000RGZNIG,1,0.86,Pineapple
92,B08852TNND,1,0.43,Pea Soup
92,B06XZMT4PG,1,0.14,Peanut Butter Bar
92,B07XJZ63RB,1,0.14,Turkey
93,B000RGZNIG,2,1.71,Pineapple
93,B074H6M4M4,1,1.14,Almond Milk
